Name,Price
"STEMpedia Evive 5Dof robotic arm kit,""LE 12,715.00"""
"Stempedia Evive Basic Kit,""LE 8,555.00"""
"Stempedia evive IoT Kit,""LE 19,830.00"""
"Stempedia Evive Startr Kit,""LE 11,995.00"""
"STEMpedia Quarky Expansion Board,""LE 1,115.00"""
"STEMpedia Quarky Explorer Kit,""LE 2,925.00"""
"STEMpedia Quarky Innovator Kit,""LE 4,380.00"""
"STEMpedia Quarky IoT House Addon Kit,""LE 10,055.00"""
"STEMpedia Quarky Mars Rover Addon Kit,""LE 9,165.00"""
"STEMpedia Quarky Mecanum Wheel Add-on Kit,""LE 9,320.00"""
"STEMpedia Quarky Quadruped Addon Kit,""LE 9,165.00"""
"STEMpedia Quarky Robotic Arm Addon Kit Included Quarky Explorer Kit,""LE 9,165.00"""
"STEMpedia Quarky Ultimate Kit,""LE 6,340.00"""
STEMpedia Servo Motor GEEK 180d,LE 640.00
Tank Robot Wheels,LE 191.00
Teel Robot Wheels,LE 93.00
the LEGO Classic Green Baseplate,LE 825.00
"UUBOXS Hard Carrying Case for Meta Quest 3 Case,""LE 2,203.00"""
"WhalesBot AI Module 1s,""LE 20,675.00"""
"WhalesBot AI Module 2s,""LE 39,500.00"""
"WhalesBot AI Module 3s,""LE 31,925.00"""
"WhalesBot AI Module 5,""LE 24,425.00"""
"WhalesBot AI Module 5s,""LE 31,925.00"""
"Whalesbot S10,""LE 9,500.00"""
"WhalesBot S30,""LE 9,500.00"""
"WhalesBot S40,""LE 11,000.00"""
"Whalesbot U10,""LE 14,000.00"""
"Whalesbot U10 Pro,""LE 14,000.00"""
"Whalesbot U20,""LE 16,250.00"""
"Whalesbot U20 Pro,""LE 16,250.00"""
"ZMROBO Alpha Set A,""LE 5,570.00"""
"ZMROBO Alpha Set B,""LE 4,285.00"""
"ZMROBO Alpha Set C,""LE 4,285.00"""
"ZMROBO Alpha Set X,""LE 4,285.00"""
"ZMROBO Beta Set,""LE 6,000.00"""
"ZMROBO bluetooth  Remote Controller,""LE 1,285.00"""
ZMROBO color Sensor,LE 855.00
"ZMROBO Construction Tech Robot,""LE 6,715.00"""
"ZMROBO Creative Expansion Robot,""LE 7,595.00"""
"ZMROBO Defender WiseKit,""LE 9,515.00"""
"ZMROBO Gesture Sensor,""LE 1,455.00"""
"ZMROBO Gyroscope Sensor,""LE 1,285.00"""
"ZMROBO Intelligence Storm,""LE 11,915.00"""
"ZMROBO Intelligence Storm Ai,""LE 19,795.00"""
"ZMROBO RoboRun,""LE 2,960.00"""
"ZMROBO Technology Storm Robot,""LE 6,395.00"""
"ZMROBO Ultrasonic Sensor,""LE 1,285.00"""
"ZMROBO Wise Child Elementary,""LE 9,595.00"""
"ZMROBO Wise Child Intermediate,""LE 3,600.00"""
"Zumi,""LE 12,600.00"""
